assay	context
EED	FetalLiver
EED	Prostate
EGLN2	MammaryGland
EGR1	Blood
EGR1	BoneMarrow
EGR1	Breast
EGR1	Colon
EGR1	Embryo
EGR1	Endometrium
EGR2	EmbryonicKidney
EGR3	EmbryonicKidney
EHMT2	Breast
EHMT2	EmbryonicKidney
ELF1	Blood
ELF1	BoneMarrow
ELF1	Brain
ELF1	Breast
ELF1	Colon
ELF1	Liver
ELF1	Lung
ELF3	Pancreaticductal
ELK1	Blood
ELK1	BoneMarrow
ELK1	Breast
ELK1	Cervix
ELK3	UmbilicalVein
ELK4	Cervix
ELL2	Cervix
EMSY	Cervix
EMX1	EmbryonicKidney
EOMES	Embryo
EP300	Blood
EP300	Bone
EP300	BoneMarrow
EP300	Brain
EP300	Breast
EP300	Cervix
EP300	Colon
EP300	Cranial
EP300	Embryo
EP300	EmbryonicKidney
EP300	Endometrium
EP300	Heart
EP300	Kidney
EP300	Liver
EP300	Lung
EP300	MammaryGland
EP300	Prostate
EP300	UmbilicalVein
EPAS1	Kidney
ERCC2	ConnectiveTissue
ERCC3	ConnectiveTissue
ERCC6	Skin
ERF	Prostate
ERG	Blood
ERG	BoneMarrow
ERG	Breast
ERG	Prostate
ESR1	Bone
ESR1	Breast
ESR1	Endometrium
ESR1	MammaryGland
ESR1	Prostate
ESR1	Uterus
ESR1	endometrioidadenocarcinoma
ESRRA	Blood
ESRRA	Breast
ESRRA	Liver
ETS1	Blood
ETS1	BoneMarrow
ETS1	Lung
ETS1	Pancreas
ETS1	Prostate
ETS1	UmbilicalVein
ETS2	Colon
ETV1	BoneMarrow
ETV1	Prostate
ETV1	Stomach
ETV4	Liver
ETV4	Prostate
ETV5	Colon
ETV6	Blood
ETV7	Colon
EWSR1	Muscle
EZH1	FetalLiver
EZH2	Blood
EZH2	BoneMarrow
EZH2	Brain
EZH2	Embryo
EZH2	EmbryonicKidney
EZH2	FetalLiver
EZH2	Liver
EZH2	Lung
EZH2	LymphNode
EZH2	MammaryGland
EZH2	Pontine
EZH2	Prostate
EZH2	Skin
EZH2	UmbilicalVein
FAIRE	BoneMarrow
FAIRE	Breast
FAIRE	Cervix
FAIRE	Embryo
FAIRE	Liver
FAIRE	MammaryGland
FAIRE	PancreaticIslet
FAIRE	UmbilicalVein
FANCD2	EmbryonicKidney
FEZF1	EmbryonicKidney
FLI1	Blood
FLI1	BoneMarrow
FLI1	Brain
FLI1	Cordblood
FLI1	Muscle
FLI1	Pleura
FLI1	UmbilicalVein
FOS	Blood
FOS	BoneMarrow
FOS	Breast
FOS	Cervix
FOS	UmbilicalVein
FOSL1	BoneMarrow
FOSL1	Breast
FOSL1	Colon
FOSL1	MammaryGland
FOSL2	Brain
FOSL2	Breast
FOSL2	Endometrium
FOSL2	Liver
FOSL2	Lung
FOXA1	Breast
FOXA1	Embryo
FOXA1	Endometrium
FOXA1	Liver
FOXA1	Lung
FOXA1	MammaryGland
FOXA1	Pancreaticductal
FOXA1	Prostate
FOXA1	endometrioidadenocarcinoma
FOXA2	Colon
FOXA2	Embryo
FOXA2	Liver
FOXA2	Lung
FOXA2	Skin
FOXD2	Colon
FOXH1	Embryo
FOXJ2	BoneMarrow
FOXK2	BoneMarrow
FOXK2	Liver
FOXM1	Blood
FOXM1	Brain
FOXM1	Breast
FOXM1	Cervix
FOXM1	EmbryonicKidney
FOXM1	Endometrium
FOXO1	Endometrium
FOXO1	Tonsil
FOXO3	BoneMarrow
FOXO3	Colon
FOXO3	Liver
FOXP1	Blood
FOXP1	BoneMarrow
FOXP1	Colon
FOXP1	Embryo
FOXP1	Prostate
FOXP2	Brain
FOXP3	Blood
GABP	Liver
GABPA	Blood
GABPA	BoneMarrow
GABPA	Brain
GABPA	Breast
GABPA	Cervix
GABPA	Embryo
GABPA	Liver
GABPA	Lung
GABPA	Prostate
GAPDH	Cervix
GATA1	Blood
GATA1	BoneMarrow
GATA1	Cordblood
GATA1	FetalLiver
GATA2	Blood
GATA2	BoneMarrow
GATA2	Prostate
GATA2	UmbilicalVein
GATA3	Blood
GATA3	BoneMarrow
GATA3	Brain
GATA3	Breast
GATA3	Embryo
GATA3	Lung
GATA3	MammaryGland
GATA3	Thymus
GATA4	Embryo
GATA4	Liver
GATA4	Lung
GATA4	Skin
GATA4	Stomach
GATA6	Colon
GATA6	Embryo
GATA6	Endoderm
GATA6	Pancreaticductal
GATA6	Stomach
GATAD1	Cervix
GATAD2B	Breast
GATAD2B	Cervix
GFI1B	EmbryonicKidney
GLI2	Blood
GLI2	Colon
GLI4	EmbryonicKidney
GLIS1	EmbryonicKidney
GLIS2	EmbryonicKidney
GMEB2	Colon
GPS2	EmbryonicKidney
GREB1	Breast
GRHL2	Breast
GRHL2	Bronchia
GRHL2	Prostate
GRHL3	Skin
GRIP1	Blood
GTF2B	BoneMarrow
GTF2B	Cervix
GTF2B	Lung
GTF2E2	BoneMarrow
GTF2F1	BoneMarrow
GTF2F1	Cervix
GTF2F1	Embryo
GTF3C2	BoneMarrow
GTF3C2	Cervix
H2AFX	Breast
H2AFX	Lung
H2AZ	Blood
H2AZ	Bone
H2AZ	BoneMarrow
H2AZ	Brain
H2AZ	Breast
H2AZ	Cervix
H2AZ	Colon
H2AZ	Embryo
H2AZ	Liver
H2AZ	Lung
H2AZ	MammaryGland
H2AZ	Prostate
H2AZ	SkeletalMuscle
H2AZ	Skin
H2AZ	UmbilicalVein
H2AZ	UrinaryBladder
HBP1	Liver
HCFC1	BoneMarrow
HCFC1	Breast
HCFC1	Cervix
HCFC1	EmbryonicKidney
HCFC1R1	Cartilage
HDAC1	Blood
HDAC1	BoneMarrow
HDAC1	Prostate
HDAC2	Blood
HDAC2	BoneMarrow
HDAC2	Breast
HDAC2	Embryo
HDAC2	Liver
HDAC2	Prostate
HDAC3	Blood
HDAC3	Prostate
HDAC4	Blood
HDAC6	Blood
HDAC8	BoneMarrow
HDGF	Blood
HDGF	BoneMarrow
HES1	Bone
HES1	BoneMarrow
HES2	Lung
HEXIM1	Colon
HEY1	BoneMarrow
HEY1	Liver
HHEX	Liver
HIC1	EmbryonicKidney
HIF1A	Bone
HIF1A	Cervix
HIF1A	Kidney
HIF1A	MammaryGland
HINFP	BoneMarrow
HINFP	Colon
HIRA	Cervix
HIRA	Lung
HLF	Liver
HLTF	BoneMarrow
HMBOX1	BoneMarrow
HMG20A	Blood
HMGN1	Blood
HMGN3	BoneMarrow
HNF1A	Epididymis
HNF1A	Liver
HNF1B	Pancreaticductal
HNF4A	Colon
HNF4A	Embryo
HNF4A	Liver
HNF4G	Liver
HNF4G	Prostate
HNRNPLL	BoneMarrow
HNRNPLL	Liver
HOTAIR	MammaryGland
HOXA2	Colon
HOXA4	Colon
HOXA6	Colon
HOXA9	Kidney
HOXB13	Colon
HOXB13	Prostate
HOXC9	Brain
HSF1	Bone
HSF1	Breast
HSF1	Liver
HSF1	Lung
HSF1	MammaryGland
ICE1	Colon
ID3	BoneMarrow
IKZF1	Blood
IKZF1	BoneMarrow
IKZF1	Liver
IKZF2	EmbryonicKidney
ING2	Colon
ING5	Colon
INO80	Blood
INO80	Liver
INO80	Lung
INSM2	EmbryonicKidney
INTS11	Cervix
INTS3	Cervix
IRAK1	EmbryonicKidney
IRF1	Blood
IRF1	BoneMarrow
IRF1	Colon
IRF1	Pancreaticductal
IRF3	Cervix
IRF4	Blood
IRF4	BoneMarrow
IRF5	Blood
IRF9	BoneMarrow
JMJD1C	Blood
JMJD6	EmbryonicKidney
JUN	BoneMarrow
JUN	Breast
JUN	Cervix
JUN	Colon
JUN	Coronaryarterysmoothmuscle
JUN	Liver
JUN	Lung
JUN	MammaryGland
JUN	UmbilicalVein
JUNB	Blood
JUNB	BoneMarrow
JUNB	Colon
JUND	Blood
JUND	BoneMarrow
JUND	Brain
JUND	Breast
JUND	Cervix
JUND	Colon
JUND	Coronaryarterysmoothmuscle
JUND	Embryo
JUND	Liver
JUND	Lung
JUND	MammaryGland
JUND	Prostate
KAT5	Blood
KAT7	Colon
KAT8	Blood
KAT8	BoneMarrow
KDM1A	Blood
KDM1A	BoneMarrow
KDM1A	Foreskin
KDM1A	Lung
KDM1A	Prostate
KDM1B	Liver
KDM2B	Blood
KDM2B	BoneMarrow
KDM4A	Breast
KDM4A	Embryo
KDM4B	BoneMarrow
KDM4C	Esophagus
KDM5A	Breast
KDM5A	Embryo
KDM5B	BoneMarrow
KDM5B	Breast
KDM5B	MammaryGland
KDM5C	BoneMarrow
KDM6B	Blood
KDM6B	Skin
KLF1	BoneMarrow
KLF1	EmbryonicKidney
KLF10	Liver
KLF11	Adipose
