assay	context
SUZ12	epithelioidsarcoma
T	Artery
T	Blood
T	Breast
T	Embryo
TAF1	Blood
TAF1	BoneMarrow
TAF1	Brain
TAF1	Breast
TAF1	Cervix
TAF1	Embryo
TAF1	Endometrium
TAF1	Liver
TAF1	Lung
TAF3	Colon
TAF7	BoneMarrow
TAF7	Embryo
TAFII	Embryo
TAL1	Blood
TAL1	BoneMarrow
TAL1	Colon
TAL1	Cordblood
TAL1	Embryo
TAL1	FetalLiver
TAL1	LymphNode
TAL1	PeripheralBlood
TARDBP	Blood
TARDBP	BoneMarrow
TBL1X	EmbryonicKidney
TBL1XR1	Blood
TBL1XR1	BoneMarrow
TBP	Blood
TBP	BoneMarrow
TBP	Cervix
TBP	Embryo
TBP	Liver
TBX21	Blood
TCF12	Blood
TCF12	Brain
TCF12	Breast
TCF12	Embryo
TCF12	Endometrium
TCF12	Liver
TCF12	Lung
TCF21	Coronaryarterysmoothmuscle
TCF4	Colon
TCF4	Embryo
TCF7	BoneMarrow
TCF7	Liver
TCF7L1	Blood
TCF7L1	Colon
TCF7L2	Blood
TCF7L2	BoneMarrow
TCF7L2	Breast
TCF7L2	Cervix
TCF7L2	Colon
TCF7L2	EmbryonicKidney
TCF7L2	Liver
TCF7L2	MammaryGland
TCF7L2	Pancreas
TCF7L2	Pleura
TCF7L2	Prostate
TCOF1	Cervix
TEAD1	Muscle
TEAD2	BoneMarrow
TEAD4	BoneMarrow
TEAD4	Brain
TEAD4	Breast
TEAD4	Colon
TEAD4	Embryo
TEAD4	Endometrium
TEAD4	Liver
TEAD4	Lung
TERC	Cervix
TERF1	Blood
TERF2	Blood
TERF2	Lung
TET2	Blood
TET2	EmbryonicKidney
TET3	EmbryonicKidney
TFAM	Cervix
TFAM	Colon
TFAP2A	Breast
TFAP2A	Cervix
TFAP2A	Cranial
TFAP2C	Breast
TFAP2C	Cervix
TFAP2C	MammaryGland
TFAP2C	Skin
TFAP4	Liver
TFDP1	Blood
TFDP1	BoneMarrow
TFDP1	Colon
TGIF2	Liver
THAP1	BoneMarrow
THAP11	Embryo
TLE3	Breast
TLE3	Prostate
TLX1	Blood
TOP1	Colon
TOP1	Prostate
TP53	Blood
TP53	Bone
TP53	Breast
TP53	Colon
TP53	Embryo
TP53	FetalSkin
TP53	Foreskin
TP53	Lung
TP53	Skin
TP63	Breast
TP63	Foreskin
TP63	Lung
TP63	Prostate
TP63	Skin
TP63	Thyroid
TP73	Bone
TRIM22	Blood
TRIM24	BoneMarrow
TRIM24	Breast
TRIM24	Prostate
TRIM25	BoneMarrow
TRIM25	Breast
TRIM28	Bone
TRIM28	BoneMarrow
TRIM28	Colon
TRIM28	Embryo
TRIM28	EmbryonicKidney
TRRAP	Cervix
TSC22D4	Blood
TSC22D4	Liver
TSHZ1	EmbryonicKidney
TTF1	Lung
TTF2	EmbryonicKidney
U2AF1	EmbryonicKidney
UBTF	BoneMarrow
UBTF	Cervix
USF1	Blood
USF1	BoneMarrow
USF1	Brain
USF1	Colon
USF1	Embryo
USF1	Endometrium
USF1	Liver
USF1	Lung
USF2	Blood
USF2	BoneMarrow
USF2	Cervix
USF2	Embryo
USF2	Liver
VDR	Blood
VDR	Colon
VDR	Prostate
VEZF1	Cervix
WDR5	Brain
WDR5	EmbryonicKidney
WDR5	Muscle
WDR5	Skin
WRNIP1	Blood
WT1	EmbryonicKidney
WWTR1	Breast
XBP1	Breast
XBP1	MammaryGland
XRN2	EmbryonicKidney
YAP1	Breast
YAP1	Lung
YAP1	ovarian
YBX1	Breast
YBX1	Liver
YY1	Blood
YY1	BoneMarrow
YY1	Brain
YY1	Cervix
YY1	Colon
YY1	Embryo
YY1	EmbryonicKidney
YY1	Endometrium
YY1	Liver
YY1	Lung
ZBED1	Blood
ZBTB1	EmbryonicKidney
ZBTB10	Colon
ZBTB11	BoneMarrow
ZBTB11	Breast
ZBTB11	EmbryonicKidney
ZBTB14	EmbryonicKidney
ZBTB16	BoneMarrow
ZBTB17	Bone
ZBTB17	Colon
ZBTB17	EmbryonicKidney
ZBTB17	MammaryGland
ZBTB2	Blood
ZBTB2	Liver
ZBTB26	EmbryonicKidney
ZBTB33	Blood
ZBTB33	BoneMarrow
ZBTB33	Brain
ZBTB33	Colon
ZBTB33	EmbryonicKidney
ZBTB33	Liver
ZBTB33	Lung
ZBTB40	Blood
ZBTB40	BoneMarrow
ZBTB40	Breast
ZBTB40	Liver
ZBTB42	EmbryonicKidney
ZBTB48	EmbryonicKidney
ZBTB6	EmbryonicKidney
ZBTB7A	BoneMarrow
ZBTB7A	EmbryonicKidney
ZBTB7A	Endometrium
ZBTB7A	Liver
ZBTB7B	Colon
ZBTB8A	EmbryonicKidney
ZC3H8	BoneMarrow
ZC3H8	Colon
ZEB1	Blood
ZEB1	EmbryonicKidney
ZEB1	Liver
ZEB1	Lung
ZEB1	MammaryGland
ZEB2	BoneMarrow
ZEB2	EmbryonicKidney
ZFP2	EmbryonicKidney
ZFP37	EmbryonicKidney
ZFP64	EmbryonicKidney
ZFP69B	EmbryonicKidney
ZFX	BoneMarrow
ZFX	Breast
ZFX	Cerebellum
ZFX	Colon
ZFX	Kidney
ZFX	Prostate
ZIC2	PeritonealEffusion
ZIM3	EmbryonicKidney
ZKSCAN1	BoneMarrow
ZKSCAN1	Breast
ZKSCAN1	Cervix
ZKSCAN8	BoneMarrow
ZMIZ1	BoneMarrow
ZMYM3	Blood
ZMYM3	BoneMarrow
ZMYM3	Liver
ZMYND8	EmbryonicKidney
ZMYND8	Kidney
ZMYND8	Prostate
ZNF101	EmbryonicKidney
ZNF121	EmbryonicKidney
ZNF131	Cervix
ZNF140	EmbryonicKidney
ZNF143	Blood
ZNF143	BoneMarrow
ZNF143	Cervix
ZNF143	Colon
ZNF143	Embryo
ZNF143	EmbryonicKidney
ZNF146	EmbryonicKidney
ZNF175	BoneMarrow
ZNF18	Blood
ZNF18	BoneMarrow
ZNF18	EmbryonicKidney
ZNF197	BoneMarrow
ZNF2	EmbryonicKidney
ZNF207	Breast
ZNF207	Liver
ZNF217	Breast
ZNF22	EmbryonicKidney
ZNF239	EmbryonicKidney
ZNF24	BoneMarrow
ZNF24	EmbryonicKidney
ZNF263	BoneMarrow
ZNF263	EmbryonicKidney
ZNF274	BoneMarrow
ZNF274	Embryo
ZNF280A	EmbryonicKidney
ZNF280D	EmbryonicKidney
ZNF317	EmbryonicKidney
ZNF318	BoneMarrow
ZNF320	EmbryonicKidney
ZNF324	EmbryonicKidney
ZNF331	EmbryonicKidney
ZNF335	EmbryonicKidney
ZNF341	EmbryonicKidney
ZNF346	EmbryonicKidney
ZNF35	EmbryonicKidney
ZNF362	EmbryonicKidney
ZNF366	EmbryonicKidney
ZNF382	EmbryonicKidney
ZNF384	Blood
ZNF384	BoneMarrow
ZNF384	EmbryonicKidney
ZNF391	EmbryonicKidney
ZNF394	EmbryonicKidney
ZNF410	BoneMarrow
ZNF414	EmbryonicKidney
ZNF423	EmbryonicKidney
ZNF436	EmbryonicKidney
ZNF438	EmbryonicKidney
ZNF467	EmbryonicKidney
ZNF486	Embryo
ZNF488	EmbryonicKidney
ZNF490	EmbryonicKidney
ZNF501	EmbryonicKidney
ZNF512	BoneMarrow
ZNF518A	EmbryonicKidney
ZNF528	EmbryonicKidney
ZNF547	EmbryonicKidney
ZNF549	EmbryonicKidney
ZNF554	EmbryonicKidney
ZNF558	EmbryonicKidney
ZNF574	EmbryonicKidney
ZNF580	EmbryonicKidney
ZNF584	BoneMarrow
ZNF585B	EmbryonicKidney
ZNF586	EmbryonicKidney
ZNF589	BoneMarrow
ZNF592	Breast
ZNF600	EmbryonicKidney
ZNF610	EmbryonicKidney
ZNF623	EmbryonicKidney
ZNF639	BoneMarrow
ZNF639	EmbryonicKidney
ZNF644	BoneMarrow
ZNF654	EmbryonicKidney
ZNF664	EmbryonicKidney
ZNF680	EmbryonicKidney
ZNF687	Breast
ZNF692	EmbryonicKidney
ZNF697	EmbryonicKidney
ZNF707	EmbryonicKidney
ZNF71	EmbryonicKidney
ZNF711	Breast
ZNF740	BoneMarrow
ZNF750	Foreskin
ZNF75A	BoneMarrow
ZNF76	EmbryonicKidney
ZNF766	BoneMarrow
ZNF770	EmbryonicKidney
ZNF778	EmbryonicKidney
ZNF781	EmbryonicKidney
ZNF788	EmbryonicKidney
ZNF792	EmbryonicKidney
ZNF8	EmbryonicKidney
ZNF800	EmbryonicKidney
ZNF83	BoneMarrow
ZNF83	Colon
ZNF837	EmbryonicKidney
ZSCAN16	EmbryonicKidney
ZSCAN2	Liver
ZSCAN20	EmbryonicKidney
ZSCAN22	EmbryonicKidney
ZSCAN23	EmbryonicKidney
ZSCAN29	BoneMarrow
ZSCAN5A	EmbryonicKidney
ZXDB	EmbryonicKidney
